"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"1","Nikola Jokic","DEN","PF,C","1","2","1.1","0.3"
"2","Stephen Curry","GSW","PG,SG","1","4","2.4","0.8"
"3","James Harden","BKN","PG,SG","2","6","3.2","1.1"
"4","Luka Doncic","DAL","PG,SG","2","17","6.2","4.2"
"5","Karl-Anthony Towns","MIN","C","4","15","6.6","3.1"
"6","Damian Lillard","POR","PG","4","14","6.8","2.8"
"7","Giannis Antetokounmpo","MIL","PF,C","3","12","7.2","2.6"
"8","Kevin Durant","BKN","SF,PF","4","16","7.8","2.9"
"9","Jayson Tatum","BOS","SF,PF","5","12","8.5","2.1"
"10","Joel Embiid","PHI","PF,C","4","16","9.3","2.7"
"11","Bradley Beal","WAS","SG,SF","9","18","12.4","2.1"
"12","Anthony Davis","LAL","PF,C","9","17","12.4","2.2"
"13","Paul George","LAC","SF,PF,SG","9","19","12.8","3.0"
"14","Bam Adebayo","MIA","PF,C","10","19","15.5","2.9"
"15","Nikola Vucevic","CHI","C","7","22","15.7","5.0"
"16","Jimmy Butler","MIA","SF,PF,SG","13","24","16.5","3.3"
"17","Trae Young","ATL","PG","11","36","18.4","6.9"
"18","Domantas Sabonis","IND","PF,C","17","27","20.2","3.5"
"19","Michael Porter Jr.","DEN","SF,PF","14","32","21.0","5.5"
"20","Zach LaVine","CHI","SG,SF","13","30","21.5","5.5"
"21","Fred VanVleet","TOR","PG,SG","13","54","22.5","10.7"
"22","Rudy Gobert","UTH","C","11","32","22.6","6.2"
"23","Chris Paul","PHO","PG","20","29","24.5","3.2"
"24","Shai Gilgeous-Alexander","OKC","PG,SG","20","40","26.4","6.2"
"25","LaMelo Ball","CHA","PG,SG","18","45","27.4","8.3"
"26","Donovan Mitchell","UTH","PG,SG","21","34","27.9","4.2"
"27","Deandre Ayton","PHO","C","13","41","28.8","7.5"
"28","Khris Middleton","MIL","SF,PF,SG","25","37","28.9","3.7"
"29","Jaylen Brown","BOS","SG,SF","20","45","31.1","7.5"
"30","Devin Booker","PHO","SG,SF,PG","22","55","32.9","9.1"
"31","LeBron James","LAL","PG,SG,SF,PF","19","48","33.6","9.5"
"32","Clint Capela","ATL","C","23","44","35.3","5.8"
"33","Jrue Holiday","MIL","PG,SG","26","65","35.5","10.5"
"34","Tobias Harris","PHI","SF,PF","19","43","36.0","6.2"
"35","Richaun Holmes","SAC","PF,C","23","55","36.2","8.0"
"36","Myles Turner","IND","PF,C","20","48","37.1","6.7"
"37","Julius Randle","NYK","PF,C","27","67","38.4","10.4"
"38","Brandon Ingram","NOR","SF,PF","26","72","39.1","11.3"
"39","De'Aaron Fox","SAC","PG","23","57","41.9","11.1"
"40","Robert Williams III","BOS","C,PF","29","51","42.2","5.5"
"41","Kristaps Porzingis","DAL","PF,C","18","66","42.3","12.0"
"42","Christian Wood","HOU","PF,C","30","68","42.3","9.3"
"43","OG Anunoby","TOR","SF,PF","28","66","42.5","11.2"
"44","Jaren Jackson Jr.","MEM","PF,C DTD","32","56","44.2","7.2"
"45","John Collins","ATL","PF,C","45","60","47.8","4.0"
